Gene start (bp),Gene end (bp),Gene name,Transcript start (bp),Transcript end (bp)
55007982,55008306,MTND5P34,55007982,55008306
50407184,50546347,,50407184,50408518
50407184,50546347,,50407646,50408525
50407184,50546347,,50407648,50422449
50407184,50546347,,50407666,50522638
50407184,50546347,,50407701,50408513
50407184,50546347,,50505945,50546347
52168996,52192014,KRT80,52168996,52192000
52168996,52192014,KRT80,52168996,52192014
52168996,52192014,KRT80,52169523,52185749
64972225,65002489,LINC01359,64972225,64993012
64972225,65002489,LINC01359,64972365,64990062
64972225,65002489,LINC01359,64973658,64990841
64972225,65002489,LINC01359,64974611,65002454
64972225,65002489,LINC01359,64974611,65002454
64972225,65002489,LINC01359,64974611,65002472
64972225,65002489,LINC01359,64974611,65002486
64972225,65002489,LINC01359,64974611,65002489
64972225,65002489,LINC01359,64974615,65002431
64972225,65002489,LINC01359,64978385,64992918
64972225,65002489,LINC01359,64979573,65002472
64972225,65002489,LINC01359,64979577,64991364
64972225,65002489,LINC01359,64979577,65002454
64972225,65002489,LINC01359,64979577,65002476
64972225,65002489,LINC01359,64979578,65002457
64972225,65002489,LINC01359,64979579,65002472
64972225,65002489,LINC01359,64979596,65002446
64972225,65002489,LINC01359,64987312,65002472
64972225,65002489,LINC01359,64993003,65002437
64972225,65002489,LINC01359,64993020,65002454
64972225,65002489,LINC01359,64993203,65002450
119355215,119381711,USP2,119355215,119381711
119355215,119381711,USP2,119355215,119381690
119355215,119381711,USP2,119356534,119364207
119355215,119381711,USP2,119358035,119360214
119355215,119381711,USP2,119358665,119363914
119355215,119381711,USP2,119372978,119376356
119355215,119381711,USP2,119373068,119379115
439297,439397,Y_RNA,439297,439397
535316,535368,MIR5587,535316,535368
543277,543366,MIR3176,543277,543366
1962334,1962466,SNORA10,1962334,1962466
1962973,1963106,SNORA64,1962973,1963106
17052,17119,MIR6859-4,17052,17119
2135977,2136129,MIR3180-5,2135977,2136129
2274620,2274691,MIR4717,2274620,2274691
2155023,2155105,SNORD60,2155023,2155105
1965184,1965310,SNORA78,1965184,1965310
4633591,4633881,RN7SL850P,4633591,4633881
2155025,2155104,,2155025,2155104
63400208,63472677,KCNQ2,63400208,63472655
63400208,63472677,KCNQ2,63400210,63472677
63400208,63472677,KCNQ2,63400216,63472555
63400208,63472677,KCNQ2,63400216,63472555
63400208,63472677,KCNQ2,63400216,63472555
63400208,63472677,KCNQ2,63400216,63472598
63400208,63472677,KCNQ2,63406079,63463862
63400208,63472677,KCNQ2,63406237,63446791
63400208,63472677,KCNQ2,63406446,63472505
63400208,63472677,KCNQ2,63406466,63472509
63400208,63472677,KCNQ2,63407320,63408012
63400208,63472677,KCNQ2,63408002,63408484
63400208,63472677,KCNQ2,63408213,63408455
63400208,63472677,KCNQ2,63408475,63411814
63400208,63472677,KCNQ2,63412192,63413439
63400208,63472677,KCNQ2,63413276,63415035
63400208,63472677,KCNQ2,63414088,63439668
63400208,63472677,KCNQ2,63415065,63424160
63400208,63472677,KCNQ2,63419644,63422689
63400208,63472677,KCNQ2,63422688,63428422
63400208,63472677,KCNQ2,63423934,63472589
63400208,63472677,KCNQ2,63428367,63433476
63400208,63472677,KCNQ2,63433509,63433876
63400208,63472677,KCNQ2,63433613,63433841
63400208,63472677,KCNQ2,63433678,63434730
63400208,63472677,KCNQ2,63433678,63472655
63400208,63472677,KCNQ2,63433681,63453713
63400208,63472677,KCNQ2,63433684,63444769
63400208,63472677,KCNQ2,63437353,63438673
63400208,63472677,KCNQ2,63438209,63444713
63400208,63472677,KCNQ2,63438689,63445576
63400208,63472677,KCNQ2,63442438,63443700
63400208,63472677,KCNQ2,63442524,63460048
63400208,63472677,KCNQ2,63443678,63444742
63400208,63472677,KCNQ2,63445284,63446216
63400208,63472677,KCNQ2,63445287,63446226
63400208,63472677,KCNQ2,63446759,63471763
63400208,63472677,KCNQ2,63446767,63466654
63400208,63472677,KCNQ2,63446772,63470958
63400208,63472677,KCNQ2,63446775,63459077
63400208,63472677,KCNQ2,63446776,63471235
63400208,63472677,KCNQ2,63446810,63466504
63400208,63472677,KCNQ2,63446811,63447451
63400208,63472677,KCNQ2,63446813,63461014
63400208,63472677,KCNQ2,63459042,63460934
63400208,63472677,KCNQ2,63459473,63463864
63400208,63472677,KCNQ2,63461011,63472232
4658851,4659151,Metazoa_SRP,4658851,4659151
2013181,2013476,RN7SL219P,2013181,2013476
4671318,4671390,MIR6769A,4671318,4671390
4756338,4756633,Metazoa_SRP,4756338,4756633
2270713,2270772,MIR3677,2270713,2270772
2090195,2090284,MIR1225,2090195,2090284
2131851,2131950,Y_RNA,2131851,2131950
2133119,2133204,MIR4516,2133119,2133204
14275508,14275600,Y_RNA,14275508,14275600
15154850,15155002,MIR3180-4,15154850,15155002
12720321,12720371,MIR4718,12720321,12720371
2271747,2271840,MIR940,2271747,2271840
14911220,14911313,MIR3180-1,14911220,14911313
15010321,15010397,MIR1972-1,15010321,15010397
35749287,35758585,RGP1,35749287,35758585
35749287,35758585,RGP1,35749291,35754142
15134075,15134145,MIR6511B2,15134075,15134145
18411894,18411977,MIR3179-3,18411894,18411977
15150697,15150796,Y_RNA,15150697,15150796
84085741,84086233,TXN2P1,84085741,84086233
18405698,18405762,MIR3670-3,18405698,18405762
80124004,80124361,,80124004,80124361
12842487,12842610,,12842487,12842610
18344013,18344079,MIR6511A4,18344013,18344079
14643788,14643849,RNU7-125P,14643788,14643849
66042500,66050718,PDE4B-AS1,66042500,66050718
18402178,18402271,MIR3180-3,18402178,18402271
14601823,14602094,RN7SL274P,14601823,14602094
75918873,75932404,ASB17,75918873,75932404
19498610,19498747,RNU4-46P,19498610,19498747
14901508,14901591,MIR3179-1,14901508,14901591
12297197,12297323,,12297197,12297323
14915457,14915556,Y_RNA,14915457,14915556
14925937,14926003,MIR6511A1,14925937,14926003
14303967,14304049,MIR193B,14303967,14304049
14930820,14930879,MIR6770-1,14930820,14930879
14309285,14309371,MIR365A,14309285,14309371
21506049,21506135,MIR3680-1,21506049,21506135
21587627,21587864,,21587627,21587864
25185253,25185538,RN7SL557P,25185253,25185538
2106669,2106753,MIR6511B1,2106669,2106753
27722284,27722392,Y_RNA,27722284,27722392
27863251,27863356,RNU6-159P,27863251,27863356
27998295,27998401,RNU6-1241P,27998295,27998401
29731051,29731404,RN7SKP127,29731051,29731404
18379351,18379410,MIR6770-3,18379351,18379410
18397937,18398036,Y_RNA,18397937,18398036
19012157,19012263,RNU6-1340P,19012157,19012263
14907717,14907781,MIR3670-1,14907717,14907781
26025237,26025310,MIR548W,26025237,26025310
26028912,26029025,RNA5SP405,26028912,26029025
18488301,18488365,MIR3670-4,18488301,18488365
18494493,18494576,MIR3179-4,18494493,18494576
35735625,35735733,RNA5SP409,35735625,35735733
35734393,35734504,RNA5SP406,35734393,35734504
48731704,48731801,RNU6-257P,48731704,48731801
35735372,35735471,RNA5SP408,35735372,35735471
35745989,35746094,RNA5SP410,35745989,35746094
48432927,48433208,Metazoa_SRP,48432927,48433208
68282388,68282622,COX6B1P7,68282388,68282622
46556089,46556191,RNU6-845P,46556089,46556191
35747032,35747140,RNA5SP413,35747032,35747140
35750061,35750175,RNA5SP415,35750061,35750175
35751574,35751684,RNA5SP416,35751574,35751684
77081984,77086402,,77081984,77086402
77210587,77327103,,77210587,77327103
35751828,35751935,RNA5SP417,35751828,35751935
47497894,47498341,RPL21P24,47497894,47498341
35752826,35752942,RNA5SP418,35752826,35752942
76106016,76107324,SUCLA2P2,76106016,76107324
35753796,35753930,RNA5SP419,35753796,35753930
35754046,35754182,RNA5SP420,35754046,35754182
84498350,84556688,,84498350,84556688
35754555,35754688,RNA5SP421,35754555,35754688
56173534,56185870,,56173534,56184908
56173534,56185870,,56174740,56185770
56173534,56185870,,56173681,56184913
56173534,56185870,,56173549,56185870
56173534,56185870,,56173633,56184922
35754923,35755033,RNA5SP422,35754923,35755033
83397555,83425353,,83397555,83425353
35755177,35755285,RNA5SP423,35755177,35755285
47313027,47313121,Y_RNA,47313027,47313121
35746523,35746636,RNA5SP411,35746523,35746636
47505432,47505543,RNA5SP425,47505432,47505543
35746772,35746894,RNA5SP412,35746772,35746894
93757840,93806272,LGI1,93757840,93798174
93757840,93806272,LGI1,93757851,93798158
93757840,93806272,LGI1,93757875,93793347
93757840,93806272,LGI1,93757913,93758912
93757840,93806272,LGI1,93757936,93798059
93757840,93806272,LGI1,93757936,93798159
93757840,93806272,LGI1,93757938,93792396
93757840,93806272,LGI1,93757962,93798108
93757840,93806272,LGI1,93757962,93798122
93757840,93806272,LGI1,93757968,93798114
93757840,93806272,LGI1,93757971,93797850
93757840,93806272,LGI1,93757971,93798108
93757840,93806272,LGI1,93757971,93798110
93757840,93806272,LGI1,93757971,93798110
93757840,93806272,LGI1,93757981,93798127
93757840,93806272,LGI1,93758015,93798113
93757840,93806272,LGI1,93758028,93806134
93757840,93806272,LGI1,93758076,93759130
93757840,93806272,LGI1,93758145,93798157
93757840,93806272,LGI1,93758541,93798174
93757840,93806272,LGI1,93758760,93776880
93757840,93806272,LGI1,93758790,93763625
93757840,93806272,LGI1,93773116,93798113
93757840,93806272,LGI1,93776867,93777405
93757840,93806272,LGI1,93777557,93778987
93757840,93806272,LGI1,93787929,93798117
93757840,93806272,LGI1,93788325,93798158
93757840,93806272,LGI1,93788656,93793273
93757840,93806272,LGI1,93792843,93796999
93757840,93806272,LGI1,93794554,93798110
93757840,93806272,LGI1,93801168,93806272
47450347,47450461,5S_rRNA,47450347,47450461
35748520,35748655,RNA5SP414,35748520,35748655
54114697,54114878,,54114697,54114878
34162959,34163110,RNA5-8SP2,34162959,34163110
44927914,44928396,,44927914,44928396
35734639,35734748,RNA5SP407,35734639,35734748
55291379,55291675,RN7SL841P,55291379,55291675
87748087,87759476,PLGLB2,87748087,87759476
87748087,87759476,PLGLB2,87748100,87758793
87748087,87759476,PLGLB2,87751227,87757633
51671236,51671563,RN7SKP142,51671236,51671563
59540126,59540266,RNU4-58P,59540126,59540266
62187540,62187646,RNU6-21P,62187540,62187646
59004213,59004494,Metazoa_SRP,59004213,59004494
66301809,66301940,RNA5SP428,66301809,66301940
35752990,35756613,MSMP,35752990,35754276
35752990,35756613,MSMP,35752992,35756613
61743154,61743476,RN7SKP76,61743154,61743476
78889764,79282124,ADGRL4,78889764,78917885
78889764,79282124,ADGRL4,78889764,79006730
78889764,79282124,ADGRL4,78889919,79006820
78889764,79282124,ADGRL4,78889960,79282124
78889764,79282124,ADGRL4,78889989,79006705
78889764,79282124,ADGRL4,78890531,79236490
78889764,79282124,ADGRL4,78890672,79006730
78889764,79282124,ADGRL4,78890842,79236492
78889764,79282124,ADGRL4,78891094,78922328
78889764,79282124,ADGRL4,78917214,78920265
78889764,79282124,ADGRL4,78937962,79188483
78889764,79282124,ADGRL4,78938192,79028211
78889764,79282124,ADGRL4,78938209,79188399
78889764,79282124,ADGRL4,78946334,79028261
78889764,79282124,ADGRL4,79005114,79028223
78889764,79282124,ADGRL4,79005138,79028245
78889764,79282124,ADGRL4,79122473,79188473
58083068,58083168,Y_RNA,58083068,58083168
72673503,72673564,RNU7-90P,72673503,72673564
72821933,72821992,RNU7-71P,72821933,72821992
69175671,69175777,RNU6-22P,69175671,69175777
75861048,75861157,RNA5SP430,75861048,75861157
75286712,75286800,RNU6-758P,75286712,75286800
76287630,76287739,RN7SKP233,76287630,76287739
84262815,84262928,RNA5SP433,84262815,84262928
69191123,69191223,Y_RNA,69191123,69191223
76469508,76469595,SNORD33,76469508,76469595
72376704,72376760,U6,72376704,72376760
85741621,85741700,MIR1910,85741621,85741700
68926894,68926957,U7,68926894,68926957
76868936,76869019,MIR4719,76868936,76869019
69007052,69007155,RNU6-898P,69007052,69007155
82688931,82689019,MIR8058,82688931,82689019
85918347,85918416,MIR6774,85918347,85918416
82844455,82844757,RN7SL134P,82844455,82844757
35756712,35757940,,35756712,35757940
83508346,83508408,MIR3182,83508346,83508408
82192505,82192790,RN7SKP190,82192505,82192790
69785994,69786113,SNORA62,69785994,69786113
69933081,69933180,MIR140,69933081,69933180
35772163,35790432,,35772163,35780598
35772163,35790432,,35772311,35790432
35772163,35790432,,35784766,35790402
35772163,35790432,,35785460,35790316
35772163,35790432,,35785494,35790407
88468918,88469031,MIR5189,88468918,88469031
81961926,81962243,RN7SKP176,81961926,81962243
87834592,87834660,MIR6775,87834592,87834660
85306226,85306325,MIR5093,85306226,85306325
85659378,85659675,RN7SL381P,85659378,85659675
86275429,86275523,Y_RNA,86275429,86275523
85781775,85781899,RNU1-103P,85781775,85781899
48809340,49419013,,48809340,49419013
88716278,88716337,MIR4722,88716278,88716337
74456541,74456611,RNU6-237P,74456541,74456611
60711484,60711920,RPL26P13,60711484,60711920
74463888,74463988,Y_RNA,74463888,74463988
35808045,35812272,SPAG8,35808045,35811074
35808045,35812272,SPAG8,35808045,35812155
35808045,35812272,SPAG8,35808045,35812272
35808045,35812272,SPAG8,35808047,35812262
35808045,35812272,SPAG8,35808131,35809877
35808045,35812272,SPAG8,35809795,35812188
35808045,35812272,SPAG8,35809795,35812262
35808045,35812272,SPAG8,35809836,35812146
35808045,35812272,SPAG8,35809867,35811416
35808045,35812272,SPAG8,35810004,35812173
35808045,35812272,SPAG8,35810208,35812149
35808045,35812272,SPAG8,35810256,35812175
75646783,75690851,MRPL19,75646783,75647693
75646783,75690851,MRPL19,75646783,75662206
75646783,75690851,MRPL19,75646794,75690759
75646783,75690851,MRPL19,75646803,75670753
75646783,75690851,MRPL19,75646979,75655130
75646783,75690851,MRPL19,75654788,75670807
75646783,75690851,MRPL19,75654900,75690851
2964216,2968383,KREMEN2,2964216,2968380
2964216,2968383,KREMEN2,2964275,2968379
2964216,2968383,KREMEN2,2964275,2968379
2964216,2968383,KREMEN2,2964275,2968380
2964216,2968383,KREMEN2,2964312,2968383
2964216,2968383,KREMEN2,2964521,2968348
97150081,97154627,,97150081,97154627
106910757,106911109,RPL30P12,106910757,106911109
71754863,71800286,RAB21,71754863,71800286
71754863,71800286,RAB21,71770536,71785919
71754863,71800286,RAB21,71770610,71774300
71754863,71800286,RAB21,71782414,71785689
63687179,64369176,LINC01414,63687179,64368558
63687179,64369176,LINC01414,63728774,64240506
63687179,64369176,LINC01414,63856252,64272543
63687179,64369176,LINC01414,63856943,64368558
63687179,64369176,LINC01414,64151106,64240282
63687179,64369176,LINC01414,64133448,64369176
63687179,64369176,LINC01414,63856545,64368725
63687179,64369176,LINC01414,63855133,64368475
132130091,132131352,AGKP2,132130091,132131352
132203024,132219480,RAP2C,132203024,132219480
132203024,132219480,RAP2C,132203025,132218124
132203024,132219480,RAP2C,132203025,132219447
132203024,132219480,RAP2C,132205449,132218332
132203024,132219480,RAP2C,132217666,132219443
69987415,69987697,SUMO2P20,69987415,69987697
108606850,108787594,TMEM74,108606850,108787594
108606850,108787594,TMEM74,108778974,108787594
123497889,123541206,FBXO32,123497889,123541206
123497889,123541206,FBXO32,123503106,123506625
123497889,123541206,FBXO32,123503118,123532143
123497889,123541206,FBXO32,123503127,123541206
123497889,123541206,FBXO32,123513274,123541189
123497889,123541206,FBXO32,123526996,123541190
89027757,89028522,,89027757,89028522
132076990,132128020,FRMD7,132076990,132128020
132076990,132128020,FRMD7,132076993,132094263
132076990,132128020,FRMD7,132077872,132127844
85102389,85102694,LSM3P3,85102389,85102694
52543909,52553145,KRT71,52543909,52553145
134655769,134661206,,134655769,134661206
39929110,39929998,,39929110,39929998
130404923,130428609,ADAMTS8,130404925,130412113
130404923,130428609,ADAMTS8,130404923,130428609
39436530,39665343,MAP4K3-DT,39436637,39604076
39436530,39665343,MAP4K3-DT,39437369,39516768
39436530,39665343,MAP4K3-DT,39437402,39600135
39436530,39665343,MAP4K3-DT,39437227,39602628
39436530,39665343,MAP4K3-DT,39437425,39475339
39436530,39665343,MAP4K3-DT,39453839,39454726
39436530,39665343,MAP4K3-DT,39453922,39624356
39436530,39665343,MAP4K3-DT,39514146,39599539
39436530,39665343,MAP4K3-DT,39437441,39601410
39436530,39665343,MAP4K3-DT,39518639,39665343
39436530,39665343,MAP4K3-DT,39437377,39601503
39436530,39665343,MAP4K3-DT,39436530,39601410
39436530,39665343,MAP4K3-DT,39437418,39601410
39436530,39665343,MAP4K3-DT,39437424,39601487
39436530,39665343,MAP4K3-DT,39437428,39585113
39436530,39665343,MAP4K3-DT,39437433,39631127
39436530,39665343,MAP4K3-DT,39437433,39601315
39436530,39665343,MAP4K3-DT,39437442,39601330
39436530,39665343,MAP4K3-DT,39437442,39601492
39436530,39665343,MAP4K3-DT,39437475,39601410
35812960,35815354,HINT2,35812960,35813770
35812960,35815354,HINT2,35812960,35814992
35812960,35815354,HINT2,35812960,35815042
35812960,35815354,HINT2,35812960,35815352
35812960,35815354,HINT2,35812960,35815354
35812960,35815354,HINT2,35812961,35813694
35812960,35815354,HINT2,35812974,35815021
79069767,79090069,BHMT2,79069767,79090069
79069767,79090069,BHMT2,79069767,79080813
79069767,79090069,BHMT2,79069767,79089195
79069767,79090069,BHMT2,79069768,79080941
79069767,79090069,BHMT2,79069769,79083219
79069767,79090069,BHMT2,79069776,79078141
79069767,79090069,BHMT2,79082392,79083198
106867177,106871505,,106867177,106871505
99160514,99161645,PCNAP1,99160514,99161265
99160514,99161645,PCNAP1,99160937,99161645
48327942,48328472,,48327942,48328472
115263170,115270596,,115263170,115270596
110049360,110073686,,110049360,110073686
110049360,110073686,,110050991,110073543
115628812,115629707,RPF2P2,115628812,115629707
69389492,69402081,UGT2B25P,69389492,69402081
103843749,103930211,TTC41P,103843749,103882588
103843749,103930211,TTC41P,103843756,103915867
103843749,103930211,TTC41P,103879732,103893169
103843749,103930211,TTC41P,103889401,103893192
103843749,103930211,TTC41P,103892994,103906272
103843749,103930211,TTC41P,103914027,103930211
103843749,103930211,TTC41P,103914962,103930131
103845151,103919548,TMSB15B-AS1,103845151,103919193
103845151,103919548,TMSB15B-AS1,103880646,103919088
103845151,103919548,TMSB15B-AS1,103881747,103919037
103845151,103919548,TMSB15B-AS1,103881805,103918194
103845151,103919548,TMSB15B-AS1,103913349,103919539
103845151,103919548,TMSB15B-AS1,103916622,103919548
103845151,103919548,TMSB15B-AS1,103917880,103919541
103845151,103919548,TMSB15B-AS1,103918761,103919479
125591712,125625215,STT3A,125591712,125602889
125591712,125625215,STT3A,125592852,125623091
125591712,125625215,STT3A,125592819,125609898
125591712,125625215,STT3A,125592836,125620888
125591712,125625215,STT3A,125592858,125622721
125591712,125625215,STT3A,125592867,125620888
125591712,125625215,STT3A,125593169,125602839
125591712,125625215,STT3A,125594863,125602884
125591712,125625215,STT3A,125602757,125606465
125591712,125625215,STT3A,125603377,125606465
125591712,125625215,STT3A,125606210,125608404
125591712,125625215,STT3A,125606413,125613070
125591712,125625215,STT3A,125608148,125609736
125591712,125625215,STT3A,125609419,125613151
125591712,125625215,STT3A,125610709,125613140
125591712,125625215,STT3A,125613684,125621226
125591712,125625215,STT3A,125618518,125625215
101646720,101659970,,101646720,101650948
101646720,101659970,,101646720,101659970
41911256,41912212,,41911256,41912212
8320381,8369555,,8320381,8369555
8320381,8369555,,8368992,8369360
49151198,49155396,HRC,49151198,49155396
49151198,49155396,HRC,49151199,49153435
49151198,49155396,HRC,49151289,49155243
49151198,49155396,HRC,49151955,49153307
85567878,85568239,,85567878,85568239
79331591,79337277,,79331591,79337277
35812960,35828732,,35812960,35828732
58255771,58272137,,58255771,58272101
58255771,58272137,,58259730,58272137
58255771,58272137,,58259738,58272042
58255771,58272137,,58260673,58272119
58255771,58272137,,58258526,58272137
58255771,58272137,,58258526,58272105
58255771,58272137,,58258526,58272101
58255771,58272137,,58259736,58272105
58255771,58272137,,58258580,58272096
58255771,58272137,,58258526,58272114
58255771,58272137,,58258526,58272137
58255771,58272137,,58258526,58272137
58255771,58272137,,58258526,58269890
58255771,58272137,,58258533,58272135
58255771,58272137,,58258529,58272105
61181249,61195938,,61181249,61195938
103773718,103792619,PLP1,103773718,103786641
103773718,103792619,PLP1,103774385,103786683
103773718,103792619,PLP1,103775472,103786682
103773718,103792619,PLP1,103775545,103786655
103773718,103792619,PLP1,103776506,103786575
103773718,103792619,PLP1,103776511,103792616
103773718,103792619,PLP1,103776618,103786608
103773718,103792619,PLP1,103776840,103792619
103773718,103792619,PLP1,103776850,103792619
103773718,103792619,PLP1,103776874,103786583
103773718,103792619,PLP1,103776874,103786639
103773718,103792619,PLP1,103776874,103786947
103773718,103792619,PLP1,103776917,103785977
103773718,103792619,PLP1,103776918,103786990
103773718,103792619,PLP1,103779965,103786553
103773718,103792619,PLP1,103781153,103787969
103773718,103792619,PLP1,103786035,103790593
103773718,103792619,PLP1,103786061,103788460
103773718,103792619,PLP1,103786063,103786837
103773718,103792619,PLP1,103786063,103789385
103773718,103792619,PLP1,103787509,103790789
103773718,103792619,PLP1,103787799,103788834
103773718,103792619,PLP1,103788907,103790582
114768674,114771851,,114768674,114771851
35814451,35865518,TMEM8B,35814451,35847234
35814451,35865518,TMEM8B,35829228,35847235
35814451,35865518,TMEM8B,35829228,35865515
35814451,35865518,TMEM8B,35829232,35854847
35814451,35865518,TMEM8B,35829232,35865518
35814451,35865518,TMEM8B,35829272,35842467
35814451,35865518,TMEM8B,35829498,35854846
35814451,35865518,TMEM8B,35829516,35846380
35814451,35865518,TMEM8B,35829777,35846271
81998632,81998962,,81998632,81998962
94140077,94141337,,94140077,94141337
133387773,133388549,,133387773,133388549
73906940,73919337,,73906940,73919337
98954394,98954972,,98954394,98954972
76059958,76229121,TMEM266,76059985,76204963
76059958,76229121,TMEM266,76059958,76204962
76059958,76229121,TMEM266,76059985,76114203
76059958,76229121,TMEM266,76059985,76229121
76059958,76229121,TMEM266,76191469,76204962
136191468,136193162,SMIM32,136191468,136193162
95867048,95942635,CCDC38,95867048,95869802
95867048,95942635,CCDC38,95867048,95879671
95867048,95942635,CCDC38,95867048,95942614
95867048,95942635,CCDC38,95896518,95898743
95867048,95942635,CCDC38,95917127,95942599
95867048,95942635,CCDC38,95918880,95942608
95867048,95942635,CCDC38,95918942,95942601
95867048,95942635,CCDC38,95933185,95942635
57081745,57081951,,57081745,57081951
83940554,84384880,EDIL3,83940554,84384880
83940554,84384880,EDIL3,83940600,84384386
83940554,84384880,EDIL3,84047606,84078828
83940554,84384880,EDIL3,84106660,84181242
37600537,37625873,,37600537,37625873
75521562,75522231,,75521562,75522231
38874069,38881587,GJA9,38874451,38876351
38874069,38881587,GJA9,38874069,38881587
54135241,54148514,MRPL15,54135241,54148514
54135241,54148514,MRPL15,54135277,54142827
54135241,54148514,MRPL15,54136508,54147858
113998782,114016261,,113998782,114016261
52554818,52555273,,52554818,52555273
112696908,112697706,,112696908,112697706
77431314,77437604,,77431314,77437604
93762453,93771991,,93762453,93771991
113050912,113063443,,113050912,113063443
63078081,63079031,,63078081,63079031
93772681,93788605,,93772681,93788605
126083659,126095349,,126084220,126085452
126083659,126095349,,126084327,126095349
126083659,126095349,,126083659,126085927
126083659,126095349,,126084402,126086372
75641178,75724049,,75641178,75724049
75641178,75724049,,75641346,75642087
75641178,75724049,,75710003,75724011
93881293,93881938,RAB11AP1,93881293,93881938
14723171,14724055,RPSAP7,14723171,14724055
45013214,45013668,,45013214,45013668
14819245,14838575,CDNF,14819245,14838037
14819245,14838575,CDNF,14819250,14838575
14819245,14838575,CDNF,14819531,14837922
14819245,14838575,CDNF,14819885,14828205
14819245,14838575,CDNF,14819888,14836290
2968024,2980479,PKMYT1,2968024,2970241
2968024,2980479,PKMYT1,2968102,2980416
2968024,2980479,PKMYT1,2968353,2969104
2968024,2980479,PKMYT1,2971690,2973482
2968024,2980479,PKMYT1,2972791,2980391
2968024,2980479,PKMYT1,2972793,2974268
2968024,2980479,PKMYT1,2972808,2980446
2968024,2980479,PKMYT1,2972810,2974795
2968024,2980479,PKMYT1,2972813,2973602
2968024,2980479,PKMYT1,2972819,2980424
2968024,2980479,PKMYT1,2972849,2980439
2968024,2980479,PKMYT1,2972851,2980479
2968024,2980479,PKMYT1,2972995,2977526
2968024,2980479,PKMYT1,2975340,2980438
2968024,2980479,PKMYT1,2975653,2980323
2968024,2980479,PKMYT1,2975682,2980476
2968024,2980479,PKMYT1,2975749,2980401
2968024,2980479,PKMYT1,2976890,2980282
2968024,2980479,PKMYT1,2979473,2980457
2968024,2980479,PKMYT1,2979495,2980394
68161761,68163090,CTBP2P8,68161761,68163090
84076331,84077931,PRKACB-DT,84076331,84077931
131502573,131520880,,131517831,131520880
131502573,131520880,,131502717,131520878
131502573,131520880,,131502892,131520877
131502573,131520880,,131502840,131520877
131502573,131520880,,131508747,131520877
131502573,131520880,,131503044,131520861
131502573,131520880,,131502907,131520875
131502573,131520880,,131502588,131520877
131502573,131520880,,131502573,131520877
131502573,131520880,,131502920,131520861
131502573,131520880,,131502949,131520864
78091499,78092054,,78091499,78092054
70978380,70985499,ANKRD53,70978380,70985499
70978380,70985499,ANKRD53,70978452,70985450
70978380,70985499,ANKRD53,70978507,70985341
70978380,70985499,ANKRD53,70978630,70985499
70978380,70985499,ANKRD53,70979007,70982695
70978380,70985499,ANKRD53,70979011,70981967
70978380,70985499,ANKRD53,70982326,70984225
50950185,50963649,,50950185,50963649
50950185,50963649,,50950187,50958789
86914635,87109982,HS2ST1,86914648,87098445
86914635,87109982,HS2ST1,86914635,87109982
86914635,87109982,HS2ST1,86956484,87092588
43353686,43363172,CD177,43353686,43363172
43353686,43363172,CD177,43353691,43354525
43353686,43363172,CD177,43353715,43362372
68633706,68634356,,68633706,68634356
82818509,82901166,SEC31A,82818661,82844460
82818509,82901166,SEC31A,82818661,82891136
82818509,82901166,SEC31A,82818661,82891153
82818509,82901166,SEC31A,82818509,82891153
82818509,82901166,SEC31A,82818662,82891178
82818509,82901166,SEC31A,82818662,82891214
82818509,82901166,SEC31A,82818672,82881937
82818509,82901166,SEC31A,82818672,82881940
82818509,82901166,SEC31A,82819011,82891203
82818509,82901166,SEC31A,82819011,82900538
82818509,82901166,SEC31A,82819021,82827612
82818509,82901166,SEC31A,82819022,82871950
82818509,82901166,SEC31A,82819038,82821451
82818509,82901166,SEC31A,82819044,82891148
82818509,82901166,SEC31A,82824598,82848843
82818509,82901166,SEC31A,82827500,82831361
82818509,82901166,SEC31A,82827548,82842824
82818509,82901166,SEC31A,82827556,82829413
82818509,82901166,SEC31A,82843685,82891153
82818509,82901166,SEC31A,82848826,82866931
82818509,82901166,SEC31A,82851514,82864455
82818509,82901166,SEC31A,82853631,82864598
82818509,82901166,SEC31A,82854906,82857998
82818509,82901166,SEC31A,82854950,82861846
82818509,82901166,SEC31A,82863211,82891184
82818509,82901166,SEC31A,82871933,82891120
82818509,82901166,SEC31A,82874698,82891205
82818509,82901166,SEC31A,82875727,82891095
82818509,82901166,SEC31A,82875731,82891018
82818509,82901166,SEC31A,82875772,82891178
82818509,82901166,SEC31A,82875785,82891240
82818509,82901166,SEC31A,82877489,82891178
82818509,82901166,SEC31A,82877557,82891133
82818509,82901166,SEC31A,82878776,82891261
82818509,82901166,SEC31A,82878888,82901166
82818509,82901166,SEC31A,82880804,82891102
82818509,82901166,SEC31A,82880807,82900538
82818509,82901166,SEC31A,82881857,82900569
82818509,82901166,SEC31A,82881902,82900569
82818509,82901166,SEC31A,82818662,82891259
82818509,82901166,SEC31A,82818662,82891266
109364047,109364234,,109364047,109364234
138347648,138405534,MRAS,138347697,138405533
138347648,138405534,MRAS,138348579,138405533
138347648,138405534,MRAS,138348694,138402192
138347648,138405534,MRAS,138348850,138372953
138347648,138405534,MRAS,138348850,138403186
138347648,138405534,MRAS,138348907,138349951
138347648,138405534,MRAS,138349146,138350422
138347648,138405534,MRAS,138349262,138402362
138347648,138405534,MRAS,138400209,138402193
138347648,138405534,MRAS,138348666,138405534
